school_name,latitude,longitude
None,37.797695,-122.4318979
Arcadia High School,34.129807,-118.036703
gabrielino high school,34.082969,-118.0920652
Van Nuys High School,34.1892341,-118.4551629
Diamond Bar High School,33.9824763,-117.8390886
Gabrielino High School,34.082969,-118.0920652
Northwood High,33.7342229,-117.7502612
Granada Hills Charter High School,34.260973,-118.5252465
Irvine High School,33.7026548,-117.7815505
Notre Dame Academy,44.5204221,-88.051923
West Torrance High School,33.846766,-118.36888
